id,outstanding,data,random
AB,64,57.14285714,2.417602097
AL,24,21.42857143,76.73234247
B,112,100,16.2002819
BA,9,8.035714286,93.74900531
BB,2,1.785714286,69.18914598
BD,18,16.07142857,67.00879246
BH,29,25.89285714,65.94651589
BL,15,13.39285714,56.53128261
BN,40,35.71428571,92.65825104
BR,20,17.85714286,10.80255012
BS,21,18.75,86.20019726
BT,29,25.89285714,68.25975316
CA,5,4.464285714,91.60523235
CB,23,20.53571429,58.83994685
CF,43,38.39285714,19.91440389
CH,12,10.71428571,69.82898696
CM,22,19.64285714,45.30378337
CO,9,8.035714286,34.69914774
CR,12,10.71428571,79.19233128
CT,6,5.357142857,47.44551191
CV,61,54.46428571,95.96022617
CW,1,0.892857143,40.08047946
DA,39,34.82142857,69.98286678
DD,11,9.821428571,39.91569849
DE,18,16.07142857,74.01989285
DG,3,2.678571429,0.382932595
DH,13,11.60714286,97.60938272
DL,13,11.60714286,71.5458801
DN,7,6.25,94.65014851
DT,8,7.142857143,84.82074771
DY,6,5.357142857,91.3974218
E,3,2.678571429,20.13867389
EH,51,45.53571429,79.57378301
EN,3,2.678571429,60.00958432
EX,10,8.928571429,46.87651506
FK,6,5.357142857,33.79588493
G,108,96.42857143,26.7888177
GL,20,17.85714286,70.97333502
GU,24,21.42857143,76.27000073
HA,39,34.82142857,1.710487729
HD,10,8.928571429,9.781456847
HG,1,0.892857143,49.15303988
HP,28,25,75.56730557
HR,4,3.571428571,57.08495505
HS,1,0.892857143,35.22504241
HU,14,12.5,74.96758347
IG,15,13.39285714,90.47957928
IP,23,20.53571429,75.43870714
IV,3,2.678571429,95.95147551
KA,5,4.464285714,9.481266977
KT,29,25.89285714,41.71887096
KW,15,13.39285714,83.66131383
KY,23,20.53571429,93.43449492
L,34,30.35714286,84.15343454
LA,22,19.64285714,34.80577138
LD,16,14.28571429,82.58328486
LE,38,33.92857143,72.64016017
LL,22,19.64285714,60.93346213
LN,4,3.571428571,36.23356944
LS,32,28.57142857,21.51078857
LU,23,20.53571429,14.68047816
M,27,24.10714286,46.49746364
ME,7,6.25,0.658893096
MK,14,12.5,76.94114956
ML,6,5.357142857,95.66389212
N,1,0.892857143,65.77784394
NE,65,58.03571429,50.42198176
NG,52,46.42857143,11.58039114
NN,27,24.10714286,88.64310984
NP,13,11.60714286,60.00445746
NR,15,13.39285714,58.95738946
NW,3,2.678571429,91.82052497
OL,10,8.928571429,87.39094224
OX,28,25,76.59388937
PA,11,9.821428571,15.50181285
PE,30,26.78571429,98.16058786
PH,1,0.892857143,30.85927594
PL,4,3.571428571,40.19215234
PO,39,34.82142857,48.26217791
PR,35,31.25,49.91442387
RG,35,31.25,89.97612847
RH,15,13.39285714,64.51546737
RM,45,40.17857143,10.17299444
S,61,54.46428571,54.93568286
SA,21,18.75,56.16145577
SE,9,8.035714286,31.60520418
SG,20,17.85714286,24.0792291
SK,33,29.46428571,73.58536308
SL,11,9.821428571,35.24953271
SM,18,16.07142857,83.09715841
SN,32,28.57142857,14.39845982
SO,41,36.60714286,23.1996657
SP,4,3.571428571,78.23326222
SR,9,8.035714286,45.13871972
SS,19,16.96428571,96.1493289
ST,17,15.17857143,52.87876678
SW,3,2.678571429,12.14526501
SY,15,13.39285714,75.83626636
TA,7,6.25,43.51408814
TD,1,0.892857143,65.54451202
TF,4,3.571428571,85.48952014
TN,25,22.32142857,88.59332089
TQ,4,3.571428571,85.13728242
TR,4,3.571428571,25.62756676
TS,4,3.571428571,84.47124418
TW,14,12.5,69.40408211
UB,7,6.25,49.67312884
W,1,0.892857143,21.89879082
WA,12,10.71428571,40.07477082
WD,4,3.571428571,72.77071674
WF,4,3.571428571,3.113218932
WN,3,2.678571429,68.70387888
WR,7,6.25,19.42895587
WS,12,10.71428571,38.68720192
WV,29,25.89285714,4.544582012
YO,2,1.785714286,76.19291789
ZE,1,0.892857143,76.09162754
